method,classifier,C,gamma,seed,fold,OA,macro_F1,kappa
SNV,rbf_svm,100.000000,1,43,0,0.641026,0.531885,0.515528
SNV,rbf_svm,100.000000,10,43,0,0.333333,0.127671,0.071429
USP,svm,0.010000,scale,43,1,0.871795,0.867047,0.841592
USP,svm,0.100000,scale,43,1,0.923077,0.932947,0.904801
USP,svm,1.000000,scale,43,1,0.948718,0.955320,0.936275
USP,svm,10.000000,scale,43,1,0.948718,0.955320,0.936275
USP,svm,100.000000,scale,43,1,0.948718,0.955320,0.936275
USP,rbf_svm,0.100000,0.001,43,1,0.076923,0.023810,0.000000
USP,rbf_svm,0.100000,0.01,43,1,0.358974,0.270955,0.266917
USP,rbf_svm,0.100000,0.1,43,1,0.948718,0.930758,0.935908
USP,rbf_svm,0.100000,1,43,1,0.358974,0.394355,0.247104
USP,rbf_svm,0.100000,10,43,1,0.076923,0.023810,0.000000
USP,rbf_svm,1.000000,0.001,43,1,0.358974,0.242970,0.252301
USP,rbf_svm,1.000000,0.01,43,1,0.871795,0.867047,0.841592
USP,rbf_svm,1.000000,0.1,43,1,0.948718,0.930758,0.935908
USP,rbf_svm,1.000000,1,43,1,0.846154,0.831043,0.802864
USP,rbf_svm,1.000000,10,43,1,0.384615,0.247980,0.174603
USP,rbf_svm,10.000000,0.001,43,1,0.871795,0.867047,0.841592
USP,rbf_svm,10.000000,0.01,43,1,0.923077,0.932947,0.904801
USP,rbf_svm,10.000000,0.1,43,1,0.948718,0.930758,0.935908
USP,rbf_svm,10.000000,1,43,1,0.846154,0.831043,0.802864
USP,rbf_svm,10.000000,10,43,1,0.461538,0.294264,0.275862
USP,rbf_svm,100.000000,0.001,43,1,0.923077,0.932947,0.904801
USP,rbf_svm,100.000000,0.01,43,1,0.948718,0.955320,0.936275
USP,rbf_svm,100.000000,0.1,43,1,0.948718,0.930758,0.935908
USP,rbf_svm,100.000000,1,43,1,0.846154,0.831043,0.802864
USP,rbf_svm,100.000000,10,43,1,0.461538,0.294264,0.275862
SNV,svm,0.010000,scale,43,1,0.923077,0.909360,0.904255
SNV,svm,0.100000,scale,43,1,0.974359,0.979243,0.968007
SNV,svm,1.000000,scale,43,1,0.948718,0.963256,0.935961
SNV,svm,10.000000,scale,43,1,0.948718,0.968182,0.935750
SNV,svm,100.000000,scale,43,1,0.948718,0.968182,0.935750
SNV,rbf_svm,0.100000,0.001,43,1,0.076923,0.023810,0.000000
SNV,rbf_svm,0.100000,0.01,43,1,0.076923,0.023810,0.000000
SNV,rbf_svm,0.100000,0.1,43,1,0.487179,0.549259,0.418345
SNV,rbf_svm,0.100000,1,43,1,0.076923,0.023810,0.000000
SNV,rbf_svm,0.100000,10,43,1,0.076923,0.023810,0.000000
SNV,rbf_svm,1.000000,0.001,43,1,0.256410,0.068027,0.000000
SNV,rbf_svm,1.000000,0.01,43,1,0.948718,0.955320,0.936275
SNV,rbf_svm,1.000000,0.1,43,1,0.846154,0.883242,0.806291
SNV,rbf_svm,1.000000,1,43,1,0.538462,0.423016,0.378211
SNV,rbf_svm,1.000000,10,43,1,0.256410,0.068027,0.000000
SNV,rbf_svm,10.000000,0.001,43,1,0.948718,0.955320,0.936275
SNV,rbf_svm,10.000000,0.01,43,1,0.948718,0.963256,0.935961
SNV,rbf_svm,10.000000,0.1,43,1,0.846154,0.883242,0.806291
SNV,rbf_svm,10.000000,1,43,1,0.538462,0.423016,0.378211
SNV,rbf_svm,10.000000,10,43,1,0.358974,0.154937,0.109589
SNV,rbf_svm,100.000000,0.001,43,1,0.948718,0.963256,0.935961
SNV,rbf_svm,100.000000,0.01,43,1,0.948718,0.963256,0.935961
SNV,rbf_svm,100.000000,0.1,43,1,0.846154,0.883242,0.806291
SNV,rbf_svm,100.000000,1,43,1,0.538462,0.423016,0.378211
SNV,rbf_svm,100.000000,10,43,1,0.358974,0.154937,0.109589
USP,svm,0.010000,scale,43,2,0.948718,0.918680,0.935430
USP,svm,0.100000,scale,43,2,0.974359,0.957672,0.967928
USP,svm,1.000000,scale,43,2,0.974359,0.957672,0.967928
USP,svm,10.000000,scale,43,2,0.974359,0.974235,0.967715
USP,svm,100.000000,scale,43,2,0.974359,0.974235,0.967715
USP,rbf_svm,0.100000,0.001,43,2,0.076923,0.023810,0.000000
USP,rbf_svm,0.100000,0.01,43,2,0.410256,0.307018,0.320455
USP,rbf_svm,0.100000,0.1,43,2,0.948718,0.931878,0.936275
USP,rbf_svm,0.100000,1,43,2,0.333333,0.386081,0.233560
USP,rbf_svm,0.100000,10,43,2,0.076923,0.023810,0.000000
USP,rbf_svm,1.000000,0.001,43,2,0.358974,0.264134,0.253446
USP,rbf_svm,1.000000,0.01,43,2,0.974359,0.957672,0.967928
USP,rbf_svm,1.000000,0.1,43,2,0.974359,0.957672,0.967928
USP,rbf_svm,1.000000,1,43,2,0.846154,0.864244,0.804348
USP,rbf_svm,1.000000,10,43,2,0.384615,0.297186,0.179667
USP,rbf_svm,10.000000,0.001,43,2,0.974359,0.957672,0.967928
USP,rbf_svm,10.000000,0.01,43,2,0.974359,0.957672,0.967928
USP,rbf_svm,10.000000,0.1,43,2,0.974359,0.973545,0.967742
USP,rbf_svm,10.000000,1,43,2,0.897436,0.891595,0.869347
USP,rbf_svm,10.000000,10,43,2,0.461538,0.348948,0.280316
USP,rbf_svm,100.000000,0.001,43,2,0.974359,0.957672,0.967928
USP,rbf_svm,100.000000,0.01,43,2,0.974359,0.974235,0.967715
USP,rbf_svm,100.000000,0.1,43,2,0.974359,0.973545,0.967742
USP,rbf_svm,100.000000,1,43,2,0.897436,0.891595,0.869347
